Ad group	Keyword	Currency	Avg. Monthly Searches (exact match only)	Competition	Suggested bid	Impr. share	In account?	In plan?	Extracted From
Chinese Language	chinese language learning	USD	1600	0.49	0.97	 --	N	N	
Chinese Language	learn chinese language	USD	2900	0.48	1.17	 --	N	N	
Chinese Language	how to learn chinese language	USD	1300	0.51	0.73	 --	N	N	
Chinese Language	learning chinese language	USD	1000	0.63	1.74	 --	N	N	
Chinese Language	chinese language	USD	33100	0.26	1.16	 --	N	N	
Chinese Language	chinese language translation	USD	1000	0.18	1.08	 --	N	N	
Chinese Language	chinese languages	USD	2900	0.11	1.87	 --	N	N	
Chinese Language	chinese language learn	USD	70	0.48	2.18	 --	N	N	
Chinese Language	chinese language course	USD	720	0.61	0.97	 --	N	N	
Chinese Language	chinese language courses	USD	210	0.78	2.64	 --	N	N	
Chinese Language	the chinese language	USD	260	0.12	2.52	 --	N	N	
Chinese Language	chinese language tutorial	USD	320	0.39	0.65	 --	N	N	
Chinese Language	chinese language school	USD	320	0.7	2.61	 --	N	N	
Chinese Language	chinese language software	USD	140	0.73	2.45	 --	N	N	
Chinese Language	chinese language learning software	USD	50	0.69	1.37	 --	N	N	
Chinese Language	chinese language training	USD	40	0.68	2.64	 --	N	N	
Chinese Language	learning the chinese language	USD	30	0.73	1.8	 --	N	N	
Chinese Language	learn the chinese language	USD	10	0.47	1.66	 --	N	N	
Chinese Flashcards	chinese flashcards	USD	880	0.44	0.54	 --	N	N	
Chinese Flashcards	chinese character flashcards	USD	70	0.61	0.27	 --	N	N	
Chinese Flashcards	chinese flashcards online	USD	40	0.27		 --	N	N	
Chinese Flashcards	chinese flashcards for kids	USD	30	0.59		 --	N	N	
Chinese Flashcards	integrated chinese flashcards	USD	50	0.02		 --	N	N	
Chinese Flashcards	chinese characters flashcards	USD	50	0.27		 --	N	N	
Chinese Flashcards	mandarin chinese flashcards	USD	20	0.66	0.36	 --	N	N	
Chinese Flashcards	tuttle chinese flashcards	USD	40	0.52	0.18	 --	N	N	
Chinese Flashcards	chinese vocabulary flashcards	USD	30	0.42	0.08	 --	N	N	
Chinese Flashcards	learn chinese flashcards	USD	30	0.56	0.3	 --	N	N	
Chinese Flashcards	flashcards chinese	USD	50	0.24	0.12	 --	N	N	
Chinese Flashcards	chinese flashcards free	USD	30	0.27	0.03	 --	N	N	
Chinese Flashcards	free chinese flashcards	USD	20	0.26	0.01	 --	N	N	
Chinese Flashcards	chinese radicals flashcards	USD	40	0.08		 --	N	N	
Chinese Flashcards	chinese pinyin flashcards	USD	20	0.2		 --	N	N	
Chinese Flashcards	traditional chinese flashcards	USD	10	0.02		 --	N	N	
Chinese Online	learn chinese online	USD	6600	0.65	2.44	 --	N	N	
Chinese Online	learning chinese online	USD	880	0.74	2.48	 --	N	N	
Chinese Online	learn chinese online free	USD	1000	0.46	1.38	 --	N	N	
Chinese Online	chinese online	USD	1000	0.34	1.54	 --	N	N	
Chinese Online	chinese learn online	USD	260	0.45	3.04	 --	N	N	
Chinese Online	online chinese	USD	480	0.41	2.11	 --	N	N	
Chinese Online	learning chinese online free	USD	210	0.57	1.77	 --	N	N	
Chinese Online	learn chinese language online	USD	260	0.68	1.7	 --	N	N	
